wtd_range_FusionHeat,wtd_mean_FusionHeat,entropy_ElectronAffinity,gmean_atomic_radius,wtd_entropy_atomic_radius,wtd_gmean_atomic_radius,wtd_range_atomic_mass,wtd_mean_Valence,wtd_std_ThermalConductivity,wtd_gmean_Valence,wtd_gmean_FusionHeat,range_atomic_radius,range_ThermalConductivity,range_fie,critical_temp
s01_below_1,s01_below_4,s5_1_1,s3_136_139,s4_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s4_199_205,s4_399_399,s7_773_810,s1_below_30
s01_below_1,s01_below_4,s9_1_up,s4_139_142,s4_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s4_199_205,s5_399_up,s7_773_810,s1_below_30
s02_1_1,s01_below_4,s5_1_1,s3_136_139,s4_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s4_199_205,s4_399_399,s7_773_810,s1_below_30
s01_below_1,s01_below_4,s5_1_1,s3_136_139,s4_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s4_199_205,s4_399_399,s7_773_810,s1_below_30
s01_below_1,s01_below_4,s5_1_1,s3_136_139,s5_1_1,s02_84_87,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s4_199_205,s4_399_399,s7_773_810,s1_below_30
s01_below_1,s01_below_4,s5_1_1,s3_136_139,s5_1_1,s02_84_87,s4_18_21,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s4_199_205,s4_399_399,s7_773_810,s1_below_30
s01_below_1,s02_4_4,s5_1_1,s3_136_139,s6_1_1,s02_84_87,s1_below_10,s03_2_2,s7_138_153,s3_2_2,s1_below_1,s4_199_205,s4_399_399,s7_773_810,s1_below_30
s02_1_1,s01_below_4,s5_1_1,s2_131_136,s3_0_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s3_142_199,s4_399_399,s6_764_773,s2_30_up
s01_below_1,s01_below_4,s5_1_1,s2_131_136,s4_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s3_142_199,s4_399_399,s6_764_773,s2_30_up
s01_below_1,s01_below_4,s5_1_1,s2_131_136,s4_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s3_142_199,s4_399_399,s6_764_773,s2_30_up
s01_below_1,s01_below_4,s5_1_1,s2_131_136,s5_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s3_142_199,s4_399_399,s6_764_773,s2_30_up
s01_below_1,s01_below_4,s5_1_1,s4_139_142,s6_1_1,s02_84_87,s6_26_42,s04_2_2,s6_113_138,s4_2_2,s1_below_1,s4_199_205,s4_399_399,s7_773_810,s1_below_30
s01_below_1,s01_below_4,s9_1_up,s4_139_142,s4_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s4_199_205,s5_399_up,s7_773_810,s1_below_30
s01_below_1,s01_below_4,s9_1_up,s4_139_142,s4_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s4_199_205,s5_399_up,s7_773_810,s1_below_30
s01_below_1,s01_below_4,s9_1_up,s4_139_142,s5_1_1,s02_84_87,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s4_199_205,s5_399_up,s7_773_810,s1_below_30
s01_below_1,s01_below_4,s9_1_up,s4_139_142,s5_1_1,s02_84_87,s6_26_42,s04_2_2,s7_138_153,s3_2_2,s1_below_1,s4_199_205,s5_399_up,s7_773_810,s1_below_30
s04_2_2,s04_5_5,s5_1_1,s5_142_152,s6_1_1,s03_87_89,s2_10_14,s01_below_2,s8_153_167,s2_2_2,s3_1_1,s4_199_205,s4_399_399,s7_773_810,s2_30_up
s01_below_1,s01_below_4,s5_1_1,s3_136_139,s4_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s4_199_205,s4_399_399,s7_773_810,s2_30_up
s01_below_1,s01_below_4,s5_1_1,s2_131_136,s4_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s3_142_199,s4_399_399,s6_764_773,s2_30_up
s02_1_1,s01_below_4,s5_1_1,s2_131_136,s3_0_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s3_142_199,s4_399_399,s6_764_773,s1_below_30
s02_1_1,s01_below_4,s5_1_1,s2_131_136,s3_0_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s3_142_199,s4_399_399,s6_764_773,s2_30_up
s01_below_1,s01_below_4,s5_1_1,s2_131_136,s4_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s3_142_199,s4_399_399,s6_764_773,s2_30_up
s01_below_1,s01_below_4,s5_1_1,s2_131_136,s4_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s3_142_199,s4_399_399,s6_764_773,s1_below_30
s01_below_1,s01_below_4,s5_1_1,s2_131_136,s5_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s3_142_199,s4_399_399,s6_764_773,s1_below_30
s01_below_1,s01_below_4,s5_1_1,s2_131_136,s5_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s3_142_199,s4_399_399,s6_764_773,s1_below_30
s01_below_1,s01_below_4,s5_1_1,s2_131_136,s5_1_1,s01_below_84,s6_26_42,s04_2_2,s7_138_153,s4_2_2,s1_below_1,s3_142_199,s4_399_399,s6_764_773,s1_below_30
